train_acc,val_acc
2.5815217391304346,2.7800490596892886
2.255434782608696,2.616516762060507
2.907608695652174,4.224584355410194
3.9130434782608696,3.488689016080676
3.9130434782608696,4.442627418915236
5.081521739130435,5.260288907059144
5.081521739130435,5.0422458435541015
5.625,5.369310438811666
5.923913043478261,5.696375034069229
7.119565217391305,6.595802671027528
7.744565217391305,7.222676478604525
7.635869565217392,7.713273371490869
8.641304347826088,7.576996456800218
9.565217391304348,7.604251839738349
9.21195652173913,8.503679476696648
10.081521739130435,9.212319433088036
10.923913043478262,8.530934859634778
10.353260869565217,9.73017170891251
12.36413043478261,9.212319433088036
13.668478260869565,10.7113654946852
