train_acc,val_acc
2.8260869565217392,3.679476696647588
5.0271739130434785,4.715181248296538
6.059782608695652,5.5055873535023165
7.4728260869565215,6.323248841646225
7.798913043478261,6.105205778141183
8.967391304347826,6.541291905151267
10.326086956521738,7.386208776233306
10.244565217391305,7.495230307985827
10.407608695652174,8.994276369582993
11.141304347826088,9.403107113654947
12.01086956521739,8.939765603706732
13.396739130434783,9.73017170891251
14.076086956521738,9.920959389479423
14.53804347826087,10.956663941128372
15.48913043478261,11.283728536385937
16.304347826086957,10.520577814118289
17.119565217391305,12.56473153447806
18.206521739130434,13.464159171436359
19.51086956521739,13.028073044426273
21.25,11.801580812210412
