train_acc,val_acc
3.6684782608695654,5.914418097574271
7.554347826086956,6.132461161079314
8.722826086956522,9.375851730716816
11.548913043478262,12.019623875715453
13.967391304347826,12.074134641591714
16.494565217391305,12.59198691741619
19.592391304347824,11.365494685200327
21.331521739130434,14.118288361951485
24.619565217391305,18.75170346143363
28.179347826086957,17.198146633960206
32.55434782608695,16.244208231125647
35.13586956521739,20.35977105478332
39.80978260869565,17.743254292722813
45.46195652173913,21.804306350504223
49.483695652173914,20.959389479422185
55.244565217391305,18.915235759062416
62.255434782608695,20.141727991278277
66.73913043478261,20.168983374216406
73.55978260869566,20.005451076587626
78.80434782608695,21.695284818751702
