train_acc,val_acc
3.3967391304347827,2.8890705914418096
4.701086956521739,6.2687380757699644
6.739130434782608,5.532842736440447
7.635869565217392,8.585445625511039
9.157608695652174,9.076042518397383
11.576086956521738,11.338239302262197
13.179347826086957,10.983919324066504
14.375,12.074134641591714
16.11413043478261,13.191605342055055
18.695652173913043,16.080675933496867
21.195652173913043,17.52521122921777
23.722826086956523,16.216952848187518
26.005434782608695,15.208503679476697
29.293478260869566,17.906786590351594
33.369565217391305,17.743254292722813
36.33152173913044,19.814663396020713
41.71195652173913,17.961297356227856
44.70108695652174,19.869174161896975
51.27717391304348,21.668029435813573
57.09239130434783,13.246116107931316
